Date,CCY,Weight,Buy,Sell,,,,
20161101,新台幣(TWD),1公克,1290,1306,,,,
20161102,新台幣(TWD),1公克,1304,1320,,,,
20161103,新台幣(TWD),1公克,1309,1325,,,,
20161104,新台幣(TWD),1公克,1304,1320,,,,
20161107,新台幣(TWD),1公克,1296,1312,,,,
20161108,新台幣(TWD),1公克,1293,1309,,,,
20161109,新台幣(TWD),1公克,1328,1344,,,,
20161110,新台幣(TWD),1公克,1299,1315,,,,
20161111,新台幣(TWD),1公克,1284,1300,,,,
20161114,新台幣(TWD),1公克,1251,1266,,,,
20161115,新台幣(TWD),1公克,1252,1267,,,,
20161116,新台幣(TWD),1公克,1249,1264,,,,
20161117,新台幣(TWD),1公克,1250,1265,,,,
20161118,新台幣(TWD),1公克,1238,1253,,,,
20161121,新台幣(TWD),1公克,1242,1257,,,,
20161122,新台幣(TWD),1公克,1240,1255,,,,
20161123,新台幣(TWD),1公克,1236,1251,,,,
20161124,新台幣(TWD),1公克,1212,1227,,,,
20161125,新台幣(TWD),1公克,1212,1227,,,,
20161128,新台幣(TWD),1公克,1212,1227,,,,
20161129,新台幣(TWD),1公克,1211,1226,,,,
20161130,新台幣(TWD),1公克,1212,1227,,,,
20161201,新台幣(TWD),1公克,1196,1211,,,,
20161202,新台幣(TWD),1公克,1198,1213,,,,
20161205,新台幣(TWD),1公克,1198,1213,,,,
20161206,新台幣(TWD),1公克,1196,1211,,,,
20161207,新台幣(TWD),1公克,1192,1207,,,,
20161208,新台幣(TWD),1公克,1191,1206,,,,
20161209,新台幣(TWD),1公克,1190,1205,,,,
20161212,新台幣(TWD),1公克,1178,1192,,,,
20161213,新台幣(TWD),1公克,1182,1196,,,,
20161214,新台幣(TWD),1公克,1180,1194,,,,
20161215,新台幣(TWD),1公克,1163,1177,,,,
20161216,新台幣(TWD),1公克,1158,1172,,,,
20161219,新台幣(TWD),1公克,1166,1180,,,,
20161220,新台幣(TWD),1公克,1161,1175,,,,
20161221,新台幣(TWD),1公克,1164,1178,,,,
20161222,新台幣(TWD),1公克,1159,1173,,,,
20161223,新台幣(TWD),1公克,1163,1177,,,,
20161226,新台幣(TWD),1公克,1166,1184,,,,
