日期	牌價幣別	商品重量	本行買入價格	本行賣出價格	Mean			Buy	Sell	Maen		Upper	Mean	Lower
20190319	新台幣(TWD)	1公克	1284	1300	1292		Avg	1245.15747	1260.423957	1252.790713		1352.84 	1292.00 	1152.74 
20190318	新台幣(TWD)	1公克	1283	1299	1291		Sd	49.70612527	50.34952567	50.02702377		1352.84 	1291.00 	1152.74 
20190315	新台幣(TWD)	1公克	1283	1299	1291							1352.84 	1291.00 	1152.74 
20190314	新台幣(TWD)	1公克	1284	1300	1292							1352.84 	1292.00 	1152.74 
20190313	新台幣(TWD)	1公克	1287	1303	1295							1352.84 	1295.00 	1152.74 
20190312	新台幣(TWD)	1公克	1278	1294	1286							1352.84 	1286.00 	1152.74 
20190311	新台幣(TWD)	1公克	1280	1296	1288							1352.84 	1288.00 	1152.74 
20190308	新台幣(TWD)	1公克	1276	1292	1284							1352.84 	1284.00 	1152.74 
20190307	新台幣(TWD)	1公克	1265	1280	1272.5							1352.84 	1272.50 	1152.74 
20190306	新台幣(TWD)	1公克	1270	1286	1278							1352.84 	1278.00 	1152.74 
20190305	新台幣(TWD)	1公克	1266	1281	1273.5							1352.84 	1273.50 	1152.74 
20190304	新台幣(TWD)	1公克	1273	1289	1281							1352.84 	1281.00 	1152.74 
20190227	新台幣(TWD)	1公克	1303	1319	1311							1352.84 	1311.00 	1152.74 
20190226	新台幣(TWD)	1公克	1304	1320	1312							1352.84 	1312.00 	1152.74 
20190225	新台幣(TWD)	1公克	1306	1322	1314							1352.84 	1314.00 	1152.74 
20190223	新台幣(TWD)	1公克	1304	1320	1312							1352.84 	1312.00 	1152.74 
20190222	新台幣(TWD)	1公克	1304	1320	1312							1352.84 	1312.00 	1152.74 
20190221	新台幣(TWD)	1公克	1316	1332	1324							1352.84 	1324.00 	1152.74 
20190220	新台幣(TWD)	1公克	1319	1335	1327							1352.84 	1327.00 	1152.74 
20190219	新台幣(TWD)	1公克	1303	1319	1311							1352.84 	1311.00 	1152.74 
20190218	新台幣(TWD)	1公克	1301	1317	1309							1352.84 	1309.00 	1152.74 
20190215	新台幣(TWD)	1公克	1293	1309	1301							1352.84 	1301.00 	1152.74 
20190214	新台幣(TWD)	1公克	1286	1302	1294							1352.84 	1294.00 	1152.74 
20190213	新台幣(TWD)	1公克	1291	1307	1299							1352.84 	1299.00 	1152.74 
20190212	新台幣(TWD)	1公克	1291	1307	1299							1352.84 	1299.00 	1152.74 
20190211	新台幣(TWD)	1公克	1288	1304	1296							1352.84 	1296.00 	1152.74 
20190201	新台幣(TWD)	1公克	1292	1308	1300							1352.84 	1300.00 	1152.74 
20190131	新台幣(TWD)	1公克	1294	1310	1302							1352.84 	1302.00 	1152.74 
20190130	新台幣(TWD)	1公克	1289	1305	1297							1352.84 	1297.00 	1152.74 
20190129	新台幣(TWD)	1公克	1284	1300	1292							1352.84 	1292.00 	1152.74 
20190128	新台幣(TWD)	1公克	1278	1294	1286							1352.84 	1286.00 	1152.74 
20190125	新台幣(TWD)	1公克	1264	1279	1271.5							1352.84 	1271.50 	1152.74 
20190124	新台幣(TWD)	1公克	1262	1277	1269.5							1352.84 	1269.50 	1152.74 
20190123	新台幣(TWD)	1公克	1266	1281	1273.5							1352.84 	1273.50 	1152.74 
20190122	新台幣(TWD)	1公克	1262	1277	1269.5							1352.84 	1269.50 	1152.74 
20190121	新台幣(TWD)	1公克	1263	1278	1270.5							1352.84 	1270.50 	1152.74 
20190119	新台幣(TWD)	1公克	1263	1278	1270.5							1352.84 	1270.50 	1152.74 
20190118	新台幣(TWD)	1公克	1270	1286	1278							1352.84 	1278.00 	1152.74 
20190117	新台幣(TWD)	1公克	1271	1287	1279							1352.84 	1279.00 	1152.74 
20190116	新台幣(TWD)	1公克	1270	1286	1278							1352.84 	1278.00 	1152.74 
20190115	新台幣(TWD)	1公克	1269	1285	1277							1352.84 	1277.00 	1152.74 
20190114	新台幣(TWD)	1公克	1270	1286	1278							1352.84 	1278.00 	1152.74 
20190111	新台幣(TWD)	1公克	1270	1286	1278							1352.84 	1278.00 	1152.74 
20190110	新台幣(TWD)	1公克	1272	1288	1280							1352.84 	1280.00 	1152.74 
20190109	新台幣(TWD)	1公克	1260	1275	1267.5							1352.84 	1267.50 	1152.74 
20190108	新台幣(TWD)	1公克	1262	1277	1269.5							1352.84 	1269.50 	1152.74 
